bathrooms,bathroomsFull,bedrooms,fireplaceFeatures,fireplaces,garageSpaces,hasAttachedGarage,hasCarport,hasHeating,hasPetsAllowed,heating,homeType,id,latitude,laundryFeatures,livingArea,longitude,mortgageRates_arm5Rate,mortgageRates_fifteenYearFixedRate,mortgageRates_thirtyYearFixedRate,parkingFeatures,price,propertyTaxRate,schools,solarBuildFactor,solarClimateFactor,solarElectricityFactor,solarFactor,solarSunScore,specialListingConditions,streetAddress,taxAnnualAmount,taxAssessedValue,yearBuilt,zipcode
1.0,1.0,2.0,No information,0.0,0.0,False,False,True,False,"['Central', 'Gas']",SingleFamily,15186023,1940.0,"['Inside Room', 'Laundry Closet']",720.0,-122.4400634765625,2.177,2.161,2.6839999999999997,"['Covered', 'Detached', 'Independent', 'On Site (Single Family Only)']",995000,0.67,"[{'distance': 0.3, 'name': 'Glen Park Elementary School', 'rating': 3, 'level': 'Elementary', 'studentsPerTeacher': 14, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06373&state=CA', 'type': 'Public', 'size': 363, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.2, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.7, 'name': 'Balboa High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 15, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06340&state=CA', 'type': 'Public', 'size': 1217, 'totalCount': 1, 'isAssigned': True}]",80.0,6.62,5.02,1.64,93.28,Standard,210 Monterey Blvd,13437.0,1066410.0,1940.0,94131
0.0,0.0,2.0,No information,0.0,0.0,False,False,False,False,No information,VacantLand,15145143,0.0,No information,0.0,-122.43111419677734,2.752,2.7060000000000004,3.062,[None],3495000,0.67,"[{'distance': 0.4, 'name': 'Milk (Harvey) Civil Rights Elementary School', 'rating': 3, 'level': 'Elementary', 'studentsPerTeacher': 14, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06408&state=CA', 'type': 'Public', 'size': 221, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Everett Middle School', 'rating': 4, 'level': 'Middle', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06363&state=CA', 'type': 'Public', 'size': 694, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Mission High School', 'rating': 3, 'level': 'High', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06411&state=CA', 'type': 'Public', 'size': 1099, 'totalCount': 1, 'isAssigned': True}]",63.2,6.62,5.02,1.28,76.12,Offer As Is,3929 19th St,29672.0,2409920.0,0.0,94114
6.0,4.0,5.0,['Living Room'],1.0,0.0,True,False,False,False,No information,SingleFamily,15134173,1918.0,"['Inside Room', 'Laundry Closet']",3553.0,-122.46939849853516,2.752,2.7060000000000004,3.062,"['Attached', 'Garage Door Opener', 'Garage Faces Rear', 'Interior Access', 'Uncovered Parking Spaces 2+', 'Tandem', 'On Site (Single Family Only)']",2895000,0.67,"[{'distance': 0.4, 'name': 'West Portal Elementary School', 'rating': 8, 'level': 'Elementary', 'studentsPerTeacher': 20, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06448&state=CA', 'type': 'Public', 'size': 590, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.4, 'name': 'Hoover (Herbert) Middle School', 'rating': 7, 'level': 'Middle', 'studentsPerTeacher': 20, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06378&state=CA', 'type': 'Public', 'size': 971, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': 'Lincoln (Abraham) High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06395&state=CA', 'type': 'Public', 'size': 2070, 'totalCount': 1, 'isAssigned': True}]",79.2,6.62,5.02,1.56,92.4,Standard,268 Wawona St,23488.0,1893935.0,1918.0,94127
0.0,0.0,2.0,No information,0.0,0.0,False,False,False,False,No information,VacantLand,15145142,0.0,No information,0.0,-122.43120574951172,2.752,2.7060000000000004,3.062,[None],2995000,0.67,"[{'distance': 0.4, 'name': 'Milk (Harvey) Civil Rights Elementary School', 'rating': 3, 'level': 'Elementary', 'studentsPerTeacher': 14, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06408&state=CA', 'type': 'Public', 'size': 221, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Everett Middle School', 'rating': 4, 'level': 'Middle', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06363&state=CA', 'type': 'Public', 'size': 694, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Mission High School', 'rating': 3, 'level': 'High', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06411&state=CA', 'type': 'Public', 'size': 1099, 'totalCount': 1, 'isAssigned': True}]",71.2,6.62,5.02,1.28,84.12,Standard,3931 19th St,39747.0,3250591.0,0.0,94114
2.0,1.0,1.0,No information,0.0,0.0,True,False,True,True,['Radiant'],Condo,80755663,1997.0,No information,1092.0,-122.38945770263672,2.177,2.161,2.6839999999999997,"['Assigned', 'Attached', 'Covered', 'Independent', 'On Site']",998000,0.67,"[{'distance': 0.4, 'name': 'Daniel Webster Elementary School', 'rating': 5, 'level': 'Elementary', 'studentsPerTeacher': 13, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06451&state=CA', 'type': 'Public', 'size': 326, 'totalCount': 1, 'isAssigned': True}, {'distance': 2.8, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.7, 'name': 'S.F. International High School', 'rating': 2, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=25018&state=CA', 'type': 'Public', 'size': 297, 'totalCount': 1, 'isAssigned': True}]",80.0,6.73,5.02,2.8,94.54,Standard,675 Tennessee St #A,10903.0,835191.0,1997.0,94107
2.0,2.0,4.0,No information,0.0,0.0,True,False,True,True,['Natural Gas'],SingleFamily,15140832,1917.0,['Inside Room'],2373.0,-122.45706939697266,2.752,2.7060000000000004,3.062,"['Attached', 'Enclosed', 'Tandem', 'On Site (Single Family Only)']",1949000,0.67,"[{'distance': 0.9, 'name': 'Sloat (Commodore) Elementary School', 'rating': 8, 'level': 'Elementary', 'studentsPerTeacher': 21, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06433&state=CA', 'type': 'Public', 'size': 390, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.6, 'name': 'Aptos Middle School', 'rating': 6, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06337&state=CA', 'type': 'Public', 'size': 976, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': 'Leadership High School', 'rating': 5, 'level': 'High', 'studentsPerTeacher': 12, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06391&state=CA', 'type': 'Charter', 'size': 324, 'totalCount': 1, 'isAssigned': True}]",80.0,6.62,5.02,0.88,92.52,Standard,70 Eastwood Dr,17456.0,1390583.0,1917.0,94112
1.0,1.0,2.0,No information,0.0,0.0,True,False,True,True,['Central'],Condo,15183998,1925.0,['In Kitchen'],1525.0,-122.42615509033205,2.752,2.7060000000000004,3.062,"['Attached', 'Enclosed', 'Garage Faces Front', 'Side By Side', 'Independent', 'On Site - Mapped (Condo Only)']",1489000,0.67,"[{'distance': 0.7, 'name': 'Glen Park Elementary School', 'rating': 3, 'level': 'Elementary', 'studentsPerTeacher': 14, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06373&state=CA', 'type': 'Public', 'size': 363, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.7, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.3, 'name': 'City Arts And Tech High School', 'rating': 4, 'level': 'High', 'studentsPerTeacher': 20, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=13756&state=CA', 'type': 'Charter', 'size': 276, 'totalCount': 1, 'isAssigned': True}]",79.2,6.62,5.02,1.64,92.48,Standard,125 Randall St,18736.0,1508580.0,1925.0,94131
0.0,0.0,0.0,No information,0.0,0.0,False,False,False,False,No information,SingleFamily,15092112,1911.0,No information,2150.0,-122.4876708984375,2.752,2.7060000000000004,3.062,['No Garage'],1499000,0.67,"[{'distance': 0.4, 'name': 'Alamo Elementary School', 'rating': 8, 'level': 'Elementary', 'studentsPerTeacher': 19, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06335&state=CA', 'type': 'Public', 'size': 529, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.1, 'name': 'Presidio Middle School', 'rating': 8, 'level': 'Middle', 'studentsPerTeacher': 18, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06423&state=CA', 'type': 'Public', 'size': 1060, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Washington (George) High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06450&state=CA', 'type': 'Public', 'size': 1995, 'totalCount': 1, 'isAssigned': True}]",76.8,6.62,5.02,0.96,89.4,Offer As Is,478 28th Ave,17588.0,1397298.0,1911.0,94121
1.0,1.0,2.0,No information,0.0,0.0,False,False,False,False,No information,SingleFamily,15121344,1941.0,No information,1125.0,-122.5043716430664,2.177,2.161,2.6839999999999997,"['Other', 'Independent']",799000,0.67,"[{'distance': 0.4, 'name': 'Ulloa Elementary School', 'rating': 9, 'level': 'Elementary', 'studentsPerTeacher': 20, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06445&state=CA', 'type': 'Public', 'size': 528, 'totalCount': 1, 'isAssigned': True}, {'distance': 2.2, 'name': 'Hoover (Herbert) Middle School', 'rating': 7, 'level': 'Middle', 'studentsPerTeacher': 20, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06378&state=CA', 'type': 'Public', 'size': 971, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.5, 'name': 'Lincoln (Abraham) High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06395&state=CA', 'type': 'Public', 'size': 2070, 'totalCount': 1, 'isAssigned': True}]",74.4,6.53,5.02,0.88,86.82,Probate Listing,2334 46th Ave,5810.0,430028.0,1941.0,94116
4.0,4.0,5.0,"['Dining Room', 'Living Room', 'Master Bedroom']",3.0,0.0,False,False,True,False,"['Central', 'Wall Furnace']",SingleFamily,2071143318,1891.0,['Laundry Closet'],3585.0,-122.4333267211914,2.752,2.7060000000000004,3.062,['No Garage'],3350000,0.67,"[{'distance': 0.3, 'name': 'Muir (John) Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 12, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06414&state=CA', 'type': 'Public', 'size': 225, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.6, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0, 'name': 'Wells (Ida B.) High School', 'rating': 2, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06452&state=CA', 'type': 'Public', 'size': 165, 'totalCount': 1, 'isAssigned': True}]",80.0,6.62,5.02,0.8,92.44,Standard,1027 Hayes St,18066.461693548386,1436531.3676767678,1891.0,94117
